Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 47, 23, 31, 23, 37, 27
10, 2586, 2501, 2264, 2287, 2788, 2799
15, 3239, 3115, 2893, 3205, 3459, 3432
20, 4573, 4235, 3467, 3702, 4694, 4409
25, 4487, 4657, 4161, 4304, 4850, 4680
30, 562, 589, 63, 567, 518, 554
35, 111, 156, 63, 126, 83, 121
40, 144, 189, 68, 135, 81, 165
45, 190, 227, 91, 172, 102, 178
50, 902, 995, 114, 882, 855, 885
55, 218, 214, 94, 153, 108, 162
60, 193, 213, 88, 182, 109, 217
65, 186, 284, 107, 198, 119, 222
70, 367, 427, 115, 328, 154, 1111
75, 1268, 1390, 1201, 1307, 1195, 1398
80, 224, 314, 129, 219, 131, 241
85, 233, 311, 132, 222, 188, 342
90, 350, 396, 164, 260, 188, 393
95, 395, 445, 167, 322, 191, 1684
100, 309, 470, 183, 1807, 340, 1921
