Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 30.0, 31.1, 26.6, 36.1, 29.7
10, 1324.2, 2683.0, 962.0, 2637.7, 1312.1
15, 1696.8, 3465.1, 1180.2, 3670.6, 1592.3
20, 2483.4, 4527.8, 1491.5, 4586.7, 1986.2
25, 2806.7, 5188.2, 1753.2, 5563.6, 2212.9
30, 67.1, 87.5, 65.4, 90.7, 62.2
35, 92.1, 101.9, 67.1, 108.0, 57.4
40, 133.0, 120.3, 86.0, 132.8, 62.6
45, 103.2, 89.0, 56.3, 121.9, 60.8
50, 87.5, 112.5, 69.0, 131.1, 67.3
55, 103.3, 120.5, 79.5, 142.2, 73.4
60, 123.3, 170.3, 107.9, 159.4, 83.1
65, 140.6, 168.7, 106.4, 157.9, 90.6
70, 119.3, 140.5, 89.3, 150.0, 106.1
75, 148.6, 140.7, 98.6, 184.4, 93.9
80, 137.6, 165.9, 137.4, 181.3, 595.4
85, 157.9, 197.1, 128.2, 170.4, 107.8
90, 192.2, 190.7, 139.1, 190.6, 106.2
95, 222.0, 240.6, 142.1, 217.1, 95.2
100, 251.6, 211.0, 190.3, 240.5, 100.1
