Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 1061.4, 2078.6, 797.4, 2037.4, 1064.8
10, 1601.9, 3084.7, 1028.8, 3205.5, 1421.1
15, 2414.3, 4001.8, 1349.0, 4586.1, 1823.8
20, 2773.1, 4683.5, 1546.9, 4800.7, 2058.0
25, 3269.5, 5325.2, 2002.1, 5415.5, 2440.9
30, 3425.2, 6088.8, 2223.6, 6343.2, 2669.0
35, 3414.5, 6628.3, 2348.4, 6932.4, 2822.2
40, 4117.4, 7905.6, 2545.7, 8166.8, 3079.3
45, 4215.0, 8568.0, 2712.5, 8608.8, 3355.0
50, 71.8, 81.2, 57.9, 89.1, 60.9
55, 81.3, 85.8, 60.8, 109.3, 57.8
60, 101.6, 101.8, 65.4, 128.1, 66.9
65, 107.7, 123.5, 79.8, 143.9, 73.5
70, 5319.4, 11393.9, 3745.5, 13933.7, 4333.4
75, 5987.0, 13978.0, 4347.8, 15473.3, 4857.4
80, 114.3, 129.7, 87.6, 154.6, 583.0
85, 128.0, 137.5, 90.6, 149.9, 78.3
90, 7045.8, 14603.9, 4917.5, 18392.8, 5075.1
95, 175.2, 174.9, 104.6, 175.2, 84.4
100, 196.8, 206.4, 131.3, 190.7, 87.3
