Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 1139.6, 2262.0, 725.4, 2229.9, 1005.1
10, 1750.6, 3290.9, 1056.8, 3417.2, 1445.4
15, 2513.0, 4357.1, 1356.4, 4721.7, 1798.4
20, 3100.2, 5267.7, 1631.6, 5361.5, 2172.1
25, 3655.0, 6014.9, 1973.8, 5991.0, 2480.3
30, 3863.2, 6187.7, 2239.6, 6942.6, 2730.6
35, 4519.4, 7481.7, 2525.2, 8169.9, 3056.9
40, 4896.1, 8254.4, 2739.4, 9048.8, 3275.3
45, 5466.2, 8932.1, 3011.6, 8879.2, 3703.9
50, 6291.4, 10356.8, 3368.1, 11474.1, 3793.2
55, 7597.4, 11481.7, 3775.1, 12163.0, 4445.6
60, 8314.3, 11930.1, 4015.3, 13819.7, 4721.4
65, 8694.7, 12467.4, 4230.2, 14300.6, 4769.6
70, 8890.5, 13414.3, 4295.9, 16616.4, 4886.5
75, 7255.2, 14102.3, 4706.8, 16836.9, 5079.1
80, 7886.0, 14565.8, 4878.2, 17618.2, 5258.2
85, 7840.3, 14555.0, 4909.7, 18311.8, 4939.1
90, 8013.3, 15768.9, 5075.4, 19724.7, 5172.5
95, 8585.5, 16097.2, 5345.7, 20221.3, 5572.7
100, 8881.6, 16876.9, 5566.6, 20988.9, 6518.1
