Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 184.5, 146.9, 100.0, 173.6, 126.6
10, 240.5, 262.4, 154.6, 318.7, 235.9
15, 481.4, 376.7, 268.8, 489.1, 334.3
20, 251.4, 343.5, 160.8, 393.6, 171.8
25, 273.4, 400.0, 190.8, 481.3, 207.9
30, 426.8, 414.2, 285.8, 632.8, 232.9
35, 2248.6, 1053.2, 909.7, 1495.6, 979.8
40, 2770.5, 1439.1, 1081.4, 1593.8, 1137.6
45, 3291.0, 1593.7, 1281.5, 2003.2, 1350.0
50, 3993.8, 1754.7, 1776.4, 2482.9, 1299.9
55, 1301.8, 1267.2, 526.8, 1826.7, 670.4
60, 1629.8, 1439.3, 636.1, 2056.5, 762.4
65, 6328.5, 1997.3, 2548.5, 3477.2, 1851.7
70, 7508.5, 1696.9, 3090.9, 3750.6, 1967.4
75, 9467.8, 1937.5, 3623.3, 4542.9, 2054.9
80, 12145.9, 2295.4, 3914.3, 4800.4, 2132.9
85, 14864.9, 2603.4, 4611.1, 5095.5, 1711.2
90, 15631.2, 2608.3, 5143.3, 5773.9, 1802.3
95, 6034.8, 2084.5, 1382.8, 4203.2, 531.3
100, 9183.2, 2598.6, 2009.4, 5818.0, 806.4
