Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 28.3, 32.8, 15.8, 32.9, 22.0
10, 32.8, 39.1, 15.3, 45.3, 20.1
15, 29.7, 45.3, 23.6, 43.6, 31.5
20, 45.2, 59.4, 46.9, 65.6, 39.0
25, 39.1, 86.0, 37.5, 59.1, 29.9
30, 45.4, 82.6, 40.7, 67.0, 39.1
35, 64.1, 78.3, 48.5, 79.6, 39.1
40, 84.4, 123.7, 50.0, 149.9, 35.9
45, 93.6, 95.2, 37.4, 123.3, 39.1
50, 59.6, 115.6, 48.6, 120.3, 46.8
55, 74.9, 131.2, 54.8, 146.7, 48.4
60, 96.9, 161.0, 61.1, 181.2, 45.3
65, 145.2, 209.4, 104.5, 250.0, 92.2
70, 128.1, 194.0, 71.9, 232.9, 83.0
75, 126.6, 218.8, 89.1, 332.8, 99.8
80, 140.7, 242.2, 117.3, 284.3, 593.8
85, 182.8, 270.5, 126.7, 242.2, 85.9
90, 242.3, 373.2, 198.3, 290.7, 112.3
95, 293.5, 429.8, 190.7, 311.0, 128.2
100, 353.2, 334.3, 176.7, 315.5, 95.5
