Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 124.9, 124.9, 51.8, 139.1, 70.4
10, 82.8, 135.9, 48.4, 104.4, 73.5
15, 151.8, 215.7, 98.4, 196.7, 112.6
20, 192.4, 356.4, 118.8, 243.6, 176.5
25, 221.9, 418.7, 159.4, 362.6, 175.1
30, 250.1, 400.2, 167.1, 384.4, 200.1
35, 293.9, 432.9, 187.7, 425.2, 184.5
40, 345.5, 509.3, 229.8, 512.3, 250.0
45, 348.3, 640.8, 187.4, 612.7, 481.3
50, 361.1, 731.3, 227.7, 800.0, 222.1
55, 512.6, 955.6, 256.4, 1037.5, 570.3
60, 523.6, 1006.4, 274.8, 1118.9, 625.1
65, 581.4, 1169.0, 293.7, 1329.5, 670.2
70, 631.3, 1371.9, 343.6, 1724.9, 753.2
75, 776.6, 1695.4, 412.4, 2328.5, 821.7
80, 1026.5, 2261.0, 507.9, 2947.1, 928.2
85, 1195.3, 2740.8, 626.7, 3353.8, 546.7
90, 1320.3, 2909.5, 686.0, 3716.6, 628.3
95, 1443.9, 3300.3, 779.8, 4266.0, 771.8
100, 1651.7, 3804.9, 850.0, 4954.9, 881.9
