Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 28.1, 29.6, 25.2, 33.0, 25.3
10, 1119.0, 2858.2, 759.4, 2991.5, 1108.0
15, 1625.0, 3816.1, 1012.5, 4530.3, 1358.1
20, 2404.8, 5523.4, 1345.4, 6607.9, 1769.3
25, 2811.0, 6192.7, 1642.5, 7624.3, 2049.1
30, 56.3, 114.1, 43.6, 81.3, 51.5
35, 87.5, 106.2, 52.7, 101.5, 49.9
40, 104.7, 139.2, 68.8, 182.8, 47.1
45, 99.8, 129.8, 45.3, 174.9, 54.7
50, 72.0, 162.3, 54.9, 176.7, 61.1
55, 89.1, 201.6, 59.5, 229.6, 65.7
60, 104.9, 221.9, 76.5, 245.2, 68.5
65, 137.5, 225.1, 85.8, 281.0, 67.3
70, 101.6, 190.7, 70.4, 271.8, 88.8
75, 107.8, 220.2, 77.9, 312.6, 79.5
80, 126.4, 298.7, 87.4, 332.9, 570.3
85, 134.3, 340.6, 93.8, 237.6, 78.1
90, 160.9, 384.6, 115.7, 275.0, 87.5
95, 189.0, 396.8, 139.1, 290.9, 84.3
100, 224.9, 350.1, 173.4, 307.8, 90.7
