Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 98.4, 104.5, 51.5, 145.3, 59.6
10, 89.2, 178.1, 57.8, 131.4, 78.1
15, 169.0, 242.2, 93.6, 229.9, 139.1
20, 174.9, 271.8, 120.2, 209.6, 173.5
25, 221.6, 342.0, 159.3, 290.6, 185.9
30, 270.4, 428.6, 159.4, 335.9, 186.3
35, 307.9, 445.2, 190.4, 446.9, 190.5
40, 347.3, 503.7, 203.2, 512.5, 221.9
45, 379.8, 682.4, 198.4, 633.0, 505.3
50, 456.3, 850.0, 270.2, 864.7, 256.3
55, 537.4, 1022.6, 298.4, 1131.4, 603.2
60, 598.4, 1121.9, 335.9, 1308.1, 689.3
65, 678.2, 1362.6, 373.5, 1632.6, 773.3
70, 756.5, 1632.8, 423.4, 2101.8, 846.0
75, 931.3, 1850.3, 511.1, 2628.7, 942.3
80, 1153.3, 2397.0, 601.5, 3064.6, 1032.8
85, 1332.9, 2956.6, 670.5, 3624.2, 620.4
90, 1454.9, 3297.1, 723.6, 4189.0, 688.0
95, 1617.6, 3771.9, 870.6, 4840.1, 880.9
100, 1817.3, 4164.9, 936.1, 5444.0, 1014.9
