Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 1050.4, 2431.3, 573.5, 2797.0, 907.9
10, 1791.1, 3625.2, 844.1, 4740.9, 1253.1
15, 2386.1, 4759.6, 1107.9, 6708.1, 1520.6
20, 3553.9, 6654.3, 1510.0, 9200.5, 2034.4
25, 3062.8, 6499.3, 1673.4, 8388.1, 2076.6
30, 43.7, 87.5, 34.4, 64.0, 35.7
35, 4229.1, 8894.3, 2150.1, 11705.1, 2572.1
40, 4520.4, 9908.1, 2389.3, 12712.9, 2820.7
45, 6366.3, 12260.1, 2962.8, 17798.0, 3446.6
50, 7325.4, 13653.7, 3345.4, 20488.3, 3413.8
55, 8583.0, 15144.7, 3825.3, 24271.5, 4009.4
60, 8980.1, 15717.1, 4140.9, 26131.0, 4244.0
65, 9821.7, 16596.5, 4509.7, 28383.9, 4514.3
70, 10486.6, 18368.3, 4763.5, 30930.0, 4714.3
75, 10911.9, 20414.9, 5025.4, 32551.7, 4873.2
80, 11158.3, 20126.4, 5337.6, 34241.4, 5069.0
85, 10635.0, 20327.8, 5311.2, 33134.7, 4672.2
90, 9317.6, 19053.9, 5103.4, 30017.3, 4631.9
95, 6136.3, 14025.7, 4404.7, 18274.8, 4489.5
100, 9056.9, 20394.6, 5250.9, 29385.6, 5769.2
